pcon-code,pcon-nm,Name,Speed,Superfast,UnableDecent,Under2,Under10,Over30
E14000635,Chippenham,Chippenham,39.2,0.95429,0.00610,0.01290,0.19580,0.53690
E14000636,Chipping Barnet,Chipping Barnet,37,0.96966,0.00569,0.01350,0.24000,0.54500
E14000637,Chorley,Chorley,49.7,0.95347,0.01653,0.01990,0.17290,0.59450
E14000638,Christchurch,Christchurch,38.1,0.94859,0.00321,0.02120,0.25290,0.48000
E14000639,Cities of London and Westminster,Cities of London and Westminster,24,0.70075,0.00401,0.01080,0.21700,0.18530
E14000640,City of Chester,City of Chester,30.3,0.96328,0.00575,0.02000,0.27330,0.47200
E14000641,City of Durham,City of Durham,32.5,0.94853,0.00630,0.02810,0.23290,0.52510
E14000642,Clacton,Clacton,28.6,0.95029,0.01477,0.02750,0.26060,0.44140
E14000643,Cleethorpes,Cleethorpes,62.7,0.95456,0.02442,0.01350,0.14140,0.61760
W07000062,Clwyd South,Clwyd South,28.9,0.90780,0.04570,0.03530,0.27560,0.41970
W07000059,Clwyd West,Clwyd West,28.4,0.89305,0.05921,0.03790,0.26590,0.40060
S14000011,"Coatbridge, Chryston and Bellshill","Coatbridge, Chryston and Bellshill",62.5,0.98438,0.01091,0.01710,0.18850,0.64410
E14000644,Colchester,Colchester,59,0.98629,0.00096,0.01460,0.16490,0.65720
E14000645,Colne Valley,Colne Valley,46.7,0.95092,0.02238,0.02350,0.26640,0.51150
E14000646,Congleton,Congleton,30.8,0.90851,0.01469,0.01880,0.22340,0.45890
E14000647,Copeland,Copeland,30.7,0.93799,0.02311,0.02950,0.25280,0.44840
E14000648,Corby,Corby,51.6,0.97596,0.00558,0.01660,0.14960,0.59750
E14000649,Coventry North East,Coventry North East,59.3,0.98155,0.01129,0.01140,0.20160,0.60750
E14000650,Coventry North West,Coventry North West,56.4,0.97486,0.01205,0.00930,0.19850,0.59540
E14000651,Coventry South,Coventry South,38.9,0.92836,0.02223,0.00870,0.19310,0.46050
E14000652,Crawley,Crawley,67.4,0.99391,0.00158,0.01450,0.15650,0.73710
E14000653,Crewe and Nantwich,Crewe and Nantwich,33.2,0.95106,0.01151,0.02330,0.25030,0.54580
E14000654,Croydon Central,Croydon Central,55.4,0.98055,0.00686,0.00760,0.14560,0.57330
E14000655,Croydon North,Croydon North,51.6,0.96542,0.01016,0.00660,0.14230,0.50190
E14000656,Croydon South,Croydon South,60,0.97552,0.00517,0.01230,0.18580,0.62020
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East","Cumbernauld, Kilsyth and Kirkintilloch East",58.3,0.96306,0.00991,0.02620,0.19010,0.62900
W07000070,Cynon Valley,Cynon Valley,29.7,0.97252,0.00738,0.02700,0.24350,0.47920
E14000657,Dagenham and Rainham,Dagenham and Rainham,59.4,0.98855,0.01115,0.01430,0.19930,0.64310
E14000658,Darlington,Darlington,69.8,0.98626,0.01678,0.01990,0.17760,0.70020
E14000659,Dartford,Dartford,43.3,0.94815,0.01777,0.01760,0.21360,0.55060
E14000660,Daventry,Daventry,57.1,0.92090,0.02590,0.03310,0.21760,0.49290
W07000042,Delyn,Delyn,30,0.91614,0.03800,0.03870,0.26580,0.45990
E14000661,Denton and Reddish,Denton and Reddish,58.2,0.99183,0.00109,0.01010,0.18340,0.64830
E14000662,Derby North,Derby North,63.9,0.99577,0.00175,0.00870,0.15810,0.68190
E14000663,Derby South,Derby South,64,0.98844,0.00362,0.00940,0.14410,0.62220
E14000664,Derbyshire Dales,Derbyshire Dales,28,0.83641,0.08388,0.03340,0.26820,0.36400
E14000665,Devizes,Devizes,38.8,0.91456,0.02205,0.01680,0.19060,0.46830
E14000666,Dewsbury,Dewsbury,44.1,0.96213,0.00830,0.02280,0.25610,0.50130
E14000667,Don Valley,Don Valley,32.9,0.95797,0.01142,0.02980,0.21570,0.42570
E14000668,Doncaster Central,Doncaster Central,46.2,0.98273,0.00251,0.01320,0.18520,0.53560
E14000669,Doncaster North,Doncaster North,39.1,0.95884,0.01489,0.02210,0.24840,0.46090
E14000670,Dover,Dover,40.7,0.94092,0.01484,0.02330,0.21330,0.50760
E14000671,Dudley North,Dudley North,59.3,0.99432,0.00070,0.01100,0.20400,0.61680
E14000672,Dudley South,Dudley South,59.8,0.99656,0.00211,0.00860,0.18600,0.63540
E14000673,Dulwich and West Norwood,Dulwich and West Norwood,52,0.97717,0.00073,0.00540,0.13220,0.58410
S14000013,Dumfries and Galloway,Dumfries and Galloway,27.1,0.85873,0.07577,0.03680,0.28180,0.37520
S14000014,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",27.1,0.81322,0.09869,0.03770,0.26840,0.36110
S14000015,Dundee East,Dundee East,64.1,0.97268,0.01243,0.00900,0.13120,0.62530
S14000016,Dundee West,Dundee West,64.4,0.98171,0.00722,0.00680,0.11680,0.62550
S14000017,Dunfermline and West Fife,Dunfermline and West Fife,31.5,0.96927,0.00975,0.02010,0.25900,0.51480
W07000061,Dwyfor Meirionnydd,Dwyfor Meirionnydd,28.6,0.84401,0.08266,0.04760,0.29150,0.38160
E14000674,Ealing Central and Acton,Ealing Central and Acton,56.7,0.98157,0.01224,0.00630,0.13160,0.61870
E14000675,Ealing North,Ealing North,53.8,0.99282,0.00675,0.01240,0.18160,0.63880
E14000676,"Ealing, Southall","Ealing, Southall",41.6,0.97934,0.00991,0.00960,0.24520,0.54760
E14000677,Easington,Easington,31.5,0.96806,0.00287,0.02780,0.21740,0.52150
N06000005,East Antrim,East Antrim,38.4,0.93280,0.03078,0.03100,0.21060,0.56460
