mnemonic, Highest level of qualifications [Census 2011]|No qualifications (percent), Level 1 qualifications (percent), Level 2 qualifications (percent), Apprenticeship (percent), Level 3 qualifications (percent), Level 4 qualifications and above (percent), Other qualifications (percent)
E14000972, 31.9,13.7,15.0,3.1,13.7,17.1,5.5 
E14000973, 35.5,15.0,16.1,3.8,10.8,13.7,5.0 
E14000974, 33.5,14.3,16.7,3.9,11.4,15.8,4.4 
E14000975, 22.0,12.3,15.8,3.7,11.8,30.4,4.0 
E14000976, 27.6,13.9,16.8,3.4,12.3,21.9,4.1 
E14000977, 19.5,11.8,15.5,3.5,11.5,33.6,4.7 
E14000985, 18.5,12.2,15.4,3.4,12.0,34.9,3.6 
E14000986, 25.9,16.8,17.5,3.7,12.2,19.6,4.3 
E14000989, 26.7,16.3,18.2,3.3,12.1,18.3,5.1 
E14000992, 21.9,13.6,17.5,3.4,14.0,24.7,4.9 
E14001011, 39.0,15.3,15.3,2.8,10.1,12.3,5.1 
E14001012, 32.1,14.4,14.7,2.4,10.8,18.3,7.3 
E14001016, 33.3,13.8,13.9,2.3,10.3,18.3,8.2 
E14001019, 17.4,10.5,12.5,3.1,14.7,36.9,5.0 
E14001029, 35.3,14.2,14.3,2.8,10.1,15.3,8.1 
E14001030, 36.6,14.8,15.4,2.7,10.6,13.1,6.8 
E14001035, 20.4,11.3,15.5,3.9,11.4,33.7,3.9 
E14001049, 33.7,15.4,15.7,3.2,10.7,15.0,6.3 
E14001050, 37.2,14.9,14.7,2.5,9.6,13.9,7.2 
E14001051, 23.5,12.2,14.5,2.6,11.5,28.6,7.0 
E14001052, 21.3,12.7,14.9,3.9,14.5,27.7,5.0 
E14001058, 27.8,14.2,16.1,3.8,11.4,22.1,4.6 
E14000544, 25.8,17.7,17.4,3.4,10.7,20.6,4.3 
E14000552, 22.4,14.1,14.9,3.5,11.8,25.1,8.2 
E14000590, 22.3,16.5,18.3,4.0,12.2,22.0,4.6 
E14000594, 20.9,14.7,17.0,3.4,11.3,28.7,3.9 
E14000603, 23.0,14.4,17.5,5.0,11.9,24.0,4.3 
E14000606, 25.1,17.5,17.2,3.6,11.3,19.9,5.4 
E14000613, 21.3,13.9,16.9,4.0,12.6,26.4,4.8 
E14000617, 12.0,7.0,8.6,1.9,17.1,46.8,6.5 
E14000622, 29.9,18.0,17.8,4.6,10.6,14.6,4.4 
E14000624, 23.1,13.6,16.4,4.3,11.8,26.7,4.1 
E14000628, 18.2,14.9,17.0,3.5,12.6,29.6,4.2 
E14000642, 38.8,14.9,15.3,3.9,8.7,13.4,5.0 
E14000644, 19.2,14.7,16.9,2.9,14.0,26.9,5.4 
E14000693, 23.5,15.4,16.1,3.1,11.1,26.3,4.6 
E14000717, 32.8,15.7,16.1,4.7,10.6,14.2,5.9 
E14000729, 25.7,18.4,17.2,3.7,11.2,18.4,5.4 
E14000734, 23.0,14.3,16.9,4.2,12.5,24.3,4.8 
E14000739, 20.7,16.3,16.5,3.7,11.7,26.1,4.9 
E14000744, 16.9,13.5,16.6,3.1,11.9,33.9,4.1 
E14000745, 19.4,14.1,15.8,2.9,11.2,30.8,5.8 
E14000749, 14.0,10.8,14.3,3.0,11.0,43.1,3.8 
E14000757, 19.1,14.6,16.5,3.7,12.0,28.5,5.5 
E14000761, 24.9,15.7,16.2,3.6,11.5,21.8,6.4 
E14000800, 24.4,15.1,15.3,3.7,10.7,21.8,9.0 
E14000801, 22.9,14.1,13.9,3.1,11.4,22.8,11.7 
E14000806, 22.1,16.1,18.0,4.4,11.5,24.2,3.8 
E14000813, 17.2,13.7,16.7,4.8,12.8,31.0,3.8 
E14000816, 26.3,14.5,17.4,4.1,11.4,21.3,5.0 
E14000841, 18.0,14.3,16.5,4.6,12.3,30.1,4.1 
E14000842, 30.2,15.6,16.9,4.1,10.6,15.9,6.7 
E14000845, 19.3,14.0,16.4,3.6,11.5,31.2,4.0 
E14000848, 27.3,14.1,16.2,4.7,10.4,22.6,4.7 
E14000855, 20.0,15.1,17.6,3.8,12.7,25.5,5.3 
E14000859, 29.2,14.4,16.4,3.8,10.4,19.5,6.3 
E14000863, 26.3,15.6,16.7,4.9,11.7,19.8,5.0 
E14000864, 20.8,11.6,12.9,2.5,16.5,30.7,5.1 
E14000878, 27.8,15.4,15.4,3.4,9.8,17.7,10.5 
E14000888, 23.5,17.8,18.5,4.5,12.0,19.9,3.9 
E14000899, 26.1,17.3,17.7,2.8,11.1,19.5,5.5 
E14000910, 18.4,13.9,17.0,3.4,12.1,31.3,3.9 
E14000933, 28.0,19.2,17.9,3.9,10.9,15.6,4.5 
E14000934, 14.5,10.6,13.9,3.6,11.7,41.8,3.9 
E14000937, 18.4,12.0,14.9,4.2,11.2,34.3,5.0 
E14000941, 22.2,13.5,17.1,4.1,11.6,27.5,4.0 
E14000946, 22.7,14.4,17.5,3.9,11.6,26.0,3.9 
E14000949, 21.2,15.9,17.1,4.6,12.4,24.4,4.4 
E14000951, 16.0,12.0,15.3,3.0,11.3,38.2,4.2 
E14000952, 29.1,14.9,16.0,3.8,11.3,17.7,7.1 
E14000957, 23.2,15.8,17.5,3.2,11.7,23.7,4.8 
E14000960, 13.8,10.5,13.3,2.8,10.5,44.5,4.6 
E14000968, 20.9,17.4,17.6,3.7,11.7,23.9,4.8 
